ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (m),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
10.596737,-3.313575,3.835511,8.0,49.847965,24.03544,365.0,NaN,0.72,22.0,0.0,0 / 2,40,2020-03-20 16:23:26:957
10.31901,-1.915361,6.066907,8.0,49.847965,24.03544,365.0,NaN,0.72,22.0,0.0,0 / 2,540,2020-03-20 16:23:27:457
19.718645,0.708684,5.262456,0.0,49.847965,24.03544,365.0,NaN,0.72,22.0,0.0,0 / 9,1040,2020-03-20 16:23:27:957
8.06846,-1.446098,-2.001553,0.0,49.847965,24.03544,365.0,NaN,0.72,22.0,0.0,0 / 9,1540,2020-03-20 16:23:28:457
2.901773,-2.470816,-0.588974,0.0,49.847965,24.03544,365.0,NaN,0.72,22.0,0.0,0 / 18,2041,2020-03-20 16:23:28:958
5.540183,-3.438074,-2.121263,0.0,49.847965,24.03544,365.0,NaN,0.72,22.0,0.0,0 / 18,2541,2020-03-20 16:23:29:458
-0.392649,-4.232949,-1.37906,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,3040,2020-03-20 16:23:29:957
2.274492,-3.002329,0.718261,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,3541,2020-03-20 16:23:30:458
4.10845,-5.262455,1.005565,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,4040,2020-03-20 16:23:30:957
5.434838,-7.560889,-5.760449,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,4540,2020-03-20 16:23:31:457
6.062119,-10.132261,-4.817134,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,5040,2020-03-20 16:23:31:957
11.022904,-7.781155,-2.030283,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,5541,2020-03-20 16:23:32:458
9.332599,-15.169662,-3.495534,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,6041,2020-03-20 16:23:32:958
6.129156,-6.751649,-1.082179,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,6541,2020-03-20 16:23:33:458
2.734178,-4.362235,-4.458003,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,7040,2020-03-20 16:23:33:957
7.010223,-7.900865,-2.394202,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,7540,2020-03-20 16:23:34:457
3.409343,-6.378153,-1.671153,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,8041,2020-03-20 16:23:34:958
7.034165,-6.162675,1.225831,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,8541,2020-03-20 16:23:35:458
6.354212,-7.642292,-0.253785,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,9041,2020-03-20 16:23:35:958
7.733272,-12.421119,1.264139,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,9540,2020-03-20 16:23:36:457
0.545878,-6.129156,-0.675165,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,10041,2020-03-20 16:23:36:958
5.530606,-5.315128,-4.548983,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,10541,2020-03-20 16:23:37:458
5.583278,-15.490485,-2.245761,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,11041,2020-03-20 16:23:37:958
7.192182,-5.57849,-2.48997,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,11540,2020-03-20 16:23:38:457
7.105991,-12.502522,-3.74932,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,12041,2020-03-20 16:23:38:958
6.114791,-15.241488,-6.435614,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,12540,2020-03-20 16:23:39:457
11.525687,-6.981492,-2.140416,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,13040,2020-03-20 16:23:39:957
11.621455,-14.580688,-4.362235,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,13540,2020-03-20 16:23:40:457
-0.684742,-13.666103,-15.974113,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,14041,2020-03-20 16:23:40:958
7.867347,-15.524004,-4.386177,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,14541,2020-03-20 16:23:41:458
4.027047,-5.674258,-9.548077,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,15040,2020-03-20 16:23:41:957
6.397307,-5.621585,-4.390966,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,15540,2020-03-20 16:23:42:457
-1.608903,-2.552219,1.359907,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,16041,2020-03-20 16:23:42:958
2.8491,-3.983951,-2.207454,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,16541,2020-03-20 16:23:43:458
0.545878,-3.830723,0.373495,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,17041,2020-03-20 16:23:43:958
0.392649,-3.064578,-0.493206,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,17540,2020-03-20 16:23:44:457
2.427721,1.211466,-3.414132,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,18040,2020-03-20 16:23:44:957
13.498509,-14.33648,-9.26556,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,18540,2020-03-20 16:23:45:457
8.231265,-9.02614,-1.364695,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,19041,2020-03-20 16:23:45:958
10.400413,-15.782578,-4.606444,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,19540,2020-03-20 16:23:46:457
37.30645,-37.81881,-31.852457,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,20040,2020-03-20 16:23:46:957
11.568783,-6.138733,-0.584185,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,20540,2020-03-20 16:23:47:457
9.193734,-8.350976,-3.562572,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,21041,2020-03-20 16:23:47:958
17.33402,-11.87524,-12.076353,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,21540,2020-03-20 16:23:48:457
10.888829,-10.424355,-3.232172,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,22040,2020-03-20 16:23:48:957
4.271256,-6.023811,-2.27928,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,22540,2020-03-20 16:23:49:457
8.327033,-8.327033,0.253785,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,23041,2020-03-20 16:23:49:958
5.090073,-4.644751,-1.833958,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,23540,2020-03-20 16:23:50:457
10.778696,-9.346964,-2.499546,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,24040,2020-03-20 16:23:50:957
7.896077,-5.521029,-4.151545,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,24541,2020-03-20 16:23:51:458
4.414908,-19.809626,7.000646,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,25041,2020-03-20 16:23:51:958
10.079589,-13.532028,-4.390966,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,25541,2020-03-20 16:23:52:458
10.596737,-9.935937,-0.962469,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,26040,2020-03-20 16:23:52:957
4.213795,-11.51611,-2.063802,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,26540,2020-03-20 16:23:53:457
12.306197,-5.3678,1.900996,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,27040,2020-03-20 16:23:53:957
10.888829,-17.51598,-8.197746,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,27541,2020-03-20 16:23:54:458
8.384495,-11.707646,0.11971,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,28041,2020-03-20 16:23:54:958
1.637634,-2.825158,2.346318,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,28540,2020-03-20 16:23:55:457
8.30788,-6.703765,2.30801,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,29040,2020-03-20 16:23:55:957
4.52983,-5.722142,-2.748543,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,29540,2020-03-20 16:23:56:457
-1.149217,-5.770026,1.752556,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,30040,2020-03-20 16:23:56:957
16.955736,-5.880159,-9.361329,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,30540,2020-03-20 16:23:57:457
6.296751,-12.26789,-14.255077,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,31040,2020-03-20 16:23:57:957
0.153229,-2.006341,2.255338,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,31541,2020-03-20 16:23:58:458
0.430956,-4.726154,0.469264,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,32041,2020-03-20 16:23:58:958
5.209783,-5.674258,-2.671929,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,32541,2020-03-20 16:23:59:458
-0.167594,-2.049437,0.3304,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,33040,2020-03-20 16:23:59:957
5.951986,-11.066,0.488417,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,33540,2020-03-20 16:24:00:457
9.643845,-1.484405,3.643975,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,34040,2020-03-20 16:24:00:957
7.781156,-6.157887,0.59855,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,34540,2020-03-20 16:24:01:457
-0.268151,-4.194641,0.608127,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,35041,2020-03-20 16:24:01:958
6.038177,-8.561666,-2.94008,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,35541,2020-03-20 16:24:02:458
5.109226,-5.176264,-3.864241,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,36040,2020-03-20 16:24:02:957
11.358093,-9.643845,6.641516,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,36540,2020-03-20 16:24:03:457
7.034165,-15.456966,-8.159439,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,37040,2020-03-20 16:24:03:957
14.580688,-11.583148,5.176265,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,37541,2020-03-20 16:24:04:458
6.200983,-10.773908,-14.144943,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,38041,2020-03-20 16:24:04:958
6.335058,-8.992621,-0.378284,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,38540,2020-03-20 16:24:05:457
12.952631,-7.201759,-6.737283,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,39040,2020-03-20 16:24:05:957
6.454768,-9.782708,-0.68953,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,39540,2020-03-20 16:24:06:457
15.581465,-3.323152,4.563349,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,40040,2020-03-20 16:24:06:957
11.008539,-12.291832,6.531382,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,40540,2020-03-20 16:24:07:457
-0.320823,-18.004396,-2.987964,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,41040,2020-03-20 16:24:07:957
4.448427,-9.246407,-6.119579,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,41541,2020-03-20 16:24:08:458
-0.972046,-5.942408,2.327164,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,42041,2020-03-20 16:24:08:958
0.608127,-2.916138,-1.546654,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,42540,2020-03-20 16:24:09:457
6.071696,-4.323928,-4.443638,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,43040,2020-03-20 16:24:09:957
1.326388,-2.5187,1.508347,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,43540,2020-03-20 16:24:10:457
3.016694,-3.744531,-3.864241,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,44040,2020-03-20 16:24:10:957
3.993528,-12.694057,5.477934,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,44541,2020-03-20 16:24:11:458
8.255207,-7.608773,-4.802768,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,45041,2020-03-20 16:24:11:958
-6.066907,-4.606444,-26.671408,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,45541,2020-03-20 16:24:12:458
8.892065,-8.355764,-0.761356,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,46040,2020-03-20 16:24:12:957
1.891419,-5.204994,-5.329493,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,46540,2020-03-20 16:24:13:457
9.059659,-8.255207,-12.933477,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,47041,2020-03-20 16:24:13:958
-0.842759,-4.036624,0.679953,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,47541,2020-03-20 16:24:14:458
2.647987,-9.940725,-0.54109,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,48040,2020-03-20 16:24:14:957
4.970363,-15.188815,0.627281,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,48540,2020-03-20 16:24:15:457
16.486473,-19.76653,-27.767952,0.0,49.848156,24.035658,386.0,NaN,2.16,9.0,93.4,18 / 19,49040,2020-03-20 16:24:15:957
